flow,batch_idx,cfg,height,image_path_lora,image_path_no,loras,prompt_idx,prompt_text,sampler,scheduler,seed,steps,width,expected_text,clip_similarity_no,clip_similarity_lora,clip_delta,ocr_text_no,ocr_text_lora,ocr_score_no,ocr_score_lora,ocr_delta,ocr_missing_no,ocr_missing_lora
text2img,0,4.0,1024,/home/henrique/Projects/tcc/result-gathering/output/fix_text1_wordmark_p1_cfg4_st16_0_lora_2/singles/p1_cfg4_st15_1_lora_0.png,/home/henrique/Projects/tcc/result-gathering/output/fix_text1_wordmark_p1_cfg4_st16_0_lora_2/singles/p1_cfg4_st15_1_no_0.png,wordmark:1.0,1,"text (""AURORA"":1.5)",dpmpp_2m_sde,karras,100,15,1024,text,0.6578,0.6675,0.0097,JIL\UIROIR A,AURORA,-1.7500,-0.5000,1.2500,0,0
text2img,1,4.0,1024,/home/henrique/Projects/tcc/result-gathering/output/fix_text1_wordmark_p1_cfg4_st16_0_lora_2/singles/p1_cfg4_st15_1_lora_1.png,/home/henrique/Projects/tcc/result-gathering/output/fix_text1_wordmark_p1_cfg4_st16_0_lora_2/singles/p1_cfg4_st15_1_no_1.png,wordmark:1.0,1,"text (""AURORA"":1.5)",dpmpp_2m_sde,karras,100,15,1024,text,0.6583,0.6047,-0.0536,AIUROQRRA,BY 2 (ais,-1.2500,-0.7500,0.5000,0,0
text2img,2,4.0,1024,/home/henrique/Projects/tcc/result-gathering/output/fix_text1_wordmark_p1_cfg4_st16_0_lora_2/singles/p1_cfg4_st15_1_lora_2.png,/home/henrique/Projects/tcc/result-gathering/output/fix_text1_wordmark_p1_cfg4_st16_0_lora_2/singles/p1_cfg4_st15_1_no_2.png,wordmark:1.0,1,"text (""AURORA"":1.5)",dpmpp_2m_sde,karras,100,15,1024,text,0.5970,0.5938,-0.0032,,,,,,1,1
text2img,3,4.0,1024,/home/henrique/Projects/tcc/result-gathering/output/fix_text1_wordmark_p1_cfg4_st16_0_lora_2/singles/p1_cfg4_st15_1_lora_3.png,/home/henrique/Projects/tcc/result-gathering/output/fix_text1_wordmark_p1_cfg4_st16_0_lora_2/singles/p1_cfg4_st15_1_no_3.png,wordmark:1.0,1,"text (""AURORA"":1.5)",dpmpp_2m_sde,karras,100,15,1024,text,0.5970,0.6154,0.0184,,UURH OF id,,-1.0000,,1,0
text2img,0,4.0,1024,/home/henrique/Projects/tcc/result-gathering/output/fix_text1_wordmark_p1_cfg4_st16_0_lora_2/singles/p1_cfg4_st20_1_lora_0.png,/home/henrique/Projects/tcc/result-gathering/output/fix_text1_wordmark_p1_cfg4_st16_0_lora_2/singles/p1_cfg4_st20_1_no_0.png,wordmark:1.0,1,"text (""AURORA"":1.5)",dpmpp_2m_sde,karras,100,20,1024,text,0.6578,0.6631,0.0053,,,,,,1,1
text2img,1,4.0,1024,/home/henrique/Projects/tcc/result-gathering/output/fix_text1_wordmark_p1_cfg4_st16_0_lora_2/singles/p1_cfg4_st20_1_lora_1.png,/home/henrique/Projects/tcc/result-gathering/output/fix_text1_wordmark_p1_cfg4_st16_0_lora_2/singles/p1_cfg4_st20_1_no_1.png,wordmark:1.0,1,"text (""AURORA"":1.5)",dpmpp_2m_sde,karras,100,20,1024,text,0.6575,0.6526,-0.0049,AIU RORA,(AU 2 RRL,-0.7500,-0.7500,0.0000,0,0
text2img,2,4.0,1024,/home/henrique/Projects/tcc/result-gathering/output/fix_text1_wordmark_p1_cfg4_st16_0_lora_2/singles/p1_cfg4_st20_1_lora_2.png,/home/henrique/Projects/tcc/result-gathering/output/fix_text1_wordmark_p1_cfg4_st16_0_lora_2/singles/p1_cfg4_st20_1_no_2.png,wordmark:1.0,1,"text (""AURORA"":1.5)",dpmpp_2m_sde,karras,100,20,1024,text,0.5975,0.5938,-0.0037,,,,,,1,1
text2img,3,4.0,1024,/home/henrique/Projects/tcc/result-gathering/output/fix_text1_wordmark_p1_cfg4_st16_0_lora_2/singles/p1_cfg4_st20_1_lora_3.png,/home/henrique/Projects/tcc/result-gathering/output/fix_text1_wordmark_p1_cfg4_st16_0_lora_2/singles/p1_cfg4_st20_1_no_3.png,wordmark:1.0,1,"text (""AURORA"":1.5)",dpmpp_2m_sde,karras,100,20,1024,text,0.5943,0.6474,0.0531,,AUr f nNfoa,,-1.2500,,1,0
text2img,0,4.0,1024,/home/henrique/Projects/tcc/result-gathering/output/fix_text1_wordmark_p1_cfg4_st16_0_lora_2/singles/p1_cfg4_st25_1_lora_0.png,/home/henrique/Projects/tcc/result-gathering/output/fix_text1_wordmark_p1_cfg4_st16_0_lora_2/singles/p1_cfg4_st25_1_no_0.png,wordmark:1.0,1,"text (""AURORA"":1.5)",dpmpp_2m_sde,karras,100,25,1024,text,0.6572,0.6672,0.0100,BNICIRIOIR: 72s,AURORA,-2.5000,-0.5000,2.0000,0,0
text2img,1,4.0,1024,/home/henrique/Projects/tcc/result-gathering/output/fix_text1_wordmark_p1_cfg4_st16_0_lora_2/singles/p1_cfg4_st25_1_lora_1.png,/home/henrique/Projects/tcc/result-gathering/output/fix_text1_wordmark_p1_cfg4_st16_0_lora_2/singles/p1_cfg4_st25_1_no_1.png,wordmark:1.0,1,"text (""AURORA"":1.5)",dpmpp_2m_sde,karras,100,25,1024,text,0.6235,0.6581,0.0346,AiR WIA,ASAURO! A,-0.5000,-1.0000,-0.5000,0,0
text2img,2,4.0,1024,/home/henrique/Projects/tcc/result-gathering/output/fix_text1_wordmark_p1_cfg4_st16_0_lora_2/singles/p1_cfg4_st25_1_lora_2.png,/home/henrique/Projects/tcc/result-gathering/output/fix_text1_wordmark_p1_cfg4_st16_0_lora_2/singles/p1_cfg4_st25_1_no_2.png,wordmark:1.0,1,"text (""AURORA"":1.5)",dpmpp_2m_sde,karras,100,25,1024,text,0.6001,0.5944,-0.0057,,,,,,1,1
text2img,3,4.0,1024,/home/henrique/Projects/tcc/result-gathering/output/fix_text1_wordmark_p1_cfg4_st16_0_lora_2/singles/p1_cfg4_st25_1_lora_3.png,/home/henrique/Projects/tcc/result-gathering/output/fix_text1_wordmark_p1_cfg4_st16_0_lora_2/singles/p1_cfg4_st25_1_no_3.png,wordmark:1.0,1,"text (""AURORA"":1.5)",dpmpp_2m_sde,karras,100,25,1024,text,0.5996,0.6570,0.0574,,qurorog4d,,-1.2500,,1,0
text2img,0,5.0,1024,/home/henrique/Projects/tcc/result-gathering/output/fix_text1_wordmark_p1_cfg4_st16_0_lora_2/singles/p1_cfg5_st15_1_lora_0.png,/home/henrique/Projects/tcc/result-gathering/output/fix_text1_wordmark_p1_cfg4_st16_0_lora_2/singles/p1_cfg5_st15_1_no_0.png,wordmark:1.0,1,"text (""AURORA"":1.5)",dpmpp_2m_sde,karras,100,15,1024,text,0.6608,0.6638,0.0029,IN DROW.,AURORA,-0.7500,-0.5000,0.2500,0,0
