flow,batch_idx,cfg,height,image_path_lora,image_path_no,loras,prompt_idx,prompt_text,sampler,scheduler,seed,steps,width,expected_text,clip_similarity_no,clip_similarity_lora,clip_delta,ocr_text_no,ocr_text_lora,ocr_score_no,ocr_score_lora,ocr_delta,ocr_missing_no,ocr_missing_lora
text2img,0,4.0,1024,/home/henrique/Projects/tcc/result-gathering/output/fix_text1_wordmark_p1_cfg4_st16_0_lora_1/singles/p1_cfg4_st15_1_lora_0.png,/home/henrique/Projects/tcc/result-gathering/output/fix_text1_wordmark_p1_cfg4_st16_0_lora_1/singles/p1_cfg4_st15_1_no_0.png,wordmark:1.0,1,"text (""AURORA"":1.5)",dpmpp_2m_sde,karras,100,15,1024,text,0.6667,0.6727,0.0060,,,,,,1,1
text2img,1,4.0,1024,/home/henrique/Projects/tcc/result-gathering/output/fix_text1_wordmark_p1_cfg4_st16_0_lora_1/singles/p1_cfg4_st15_1_lora_1.png,/home/henrique/Projects/tcc/result-gathering/output/fix_text1_wordmark_p1_cfg4_st16_0_lora_1/singles/p1_cfg4_st15_1_no_1.png,wordmark:1.0,1,"text (""AURORA"":1.5)",dpmpp_2m_sde,karras,100,15,1024,text,0.6428,0.6683,0.0255,AURRA,,-0.2500,,,0,1
text2img,2,4.0,1024,/home/henrique/Projects/tcc/result-gathering/output/fix_text1_wordmark_p1_cfg4_st16_0_lora_1/singles/p1_cfg4_st15_1_lora_2.png,/home/henrique/Projects/tcc/result-gathering/output/fix_text1_wordmark_p1_cfg4_st16_0_lora_1/singles/p1_cfg4_st15_1_no_2.png,wordmark:1.0,1,"text (""AURORA"":1.5)",dpmpp_2m_sde,karras,100,15,1024,text,0.6605,0.6679,0.0074,,AUORA,,-0.2500,,1,0
text2img,3,4.0,1024,/home/henrique/Projects/tcc/result-gathering/output/fix_text1_wordmark_p1_cfg4_st16_0_lora_1/singles/p1_cfg4_st15_1_lora_3.png,/home/henrique/Projects/tcc/result-gathering/output/fix_text1_wordmark_p1_cfg4_st16_0_lora_1/singles/p1_cfg4_st15_1_no_3.png,wordmark:1.0,1,"text (""AURORA"":1.5)",dpmpp_2m_sde,karras,100,15,1024,text,0.5988,0.6651,0.0664,,AUORA,,-0.2500,,1,0
text2img,0,4.0,1024,/home/henrique/Projects/tcc/result-gathering/output/fix_text1_wordmark_p1_cfg4_st16_0_lora_1/singles/p1_cfg4_st20_1_lora_0.png,/home/henrique/Projects/tcc/result-gathering/output/fix_text1_wordmark_p1_cfg4_st16_0_lora_1/singles/p1_cfg4_st20_1_no_0.png,wordmark:1.0,1,"text (""AURORA"":1.5)",dpmpp_2m_sde,karras,100,20,1024,text,0.6687,0.6682,-0.0005,,,,,,1,1
text2img,1,4.0,1024,/home/henrique/Projects/tcc/result-gathering/output/fix_text1_wordmark_p1_cfg4_st16_0_lora_1/singles/p1_cfg4_st20_1_lora_1.png,/home/henrique/Projects/tcc/result-gathering/output/fix_text1_wordmark_p1_cfg4_st16_0_lora_1/singles/p1_cfg4_st20_1_no_1.png,wordmark:1.0,1,"text (""AURORA"":1.5)",dpmpp_2m_sde,karras,100,20,1024,text,0.6539,0.6796,0.0258,AURORA,,-0.5000,,,0,1
text2img,2,4.0,1024,/home/henrique/Projects/tcc/result-gathering/output/fix_text1_wordmark_p1_cfg4_st16_0_lora_1/singles/p1_cfg4_st20_1_lora_2.png,/home/henrique/Projects/tcc/result-gathering/output/fix_text1_wordmark_p1_cfg4_st16_0_lora_1/singles/p1_cfg4_st20_1_no_2.png,wordmark:1.0,1,"text (""AURORA"":1.5)",dpmpp_2m_sde,karras,100,20,1024,text,0.6584,0.6688,0.0104,,AUORA,,-0.2500,,1,0
text2img,3,4.0,1024,/home/henrique/Projects/tcc/result-gathering/output/fix_text1_wordmark_p1_cfg4_st16_0_lora_1/singles/p1_cfg4_st20_1_lora_3.png,/home/henrique/Projects/tcc/result-gathering/output/fix_text1_wordmark_p1_cfg4_st16_0_lora_1/singles/p1_cfg4_st20_1_no_3.png,wordmark:1.0,1,"text (""AURORA"":1.5)",dpmpp_2m_sde,karras,100,20,1024,text,0.6001,0.6659,0.0658,,AUOFA,,-0.2500,,1,0
text2img,0,4.0,1024,/home/henrique/Projects/tcc/result-gathering/output/fix_text1_wordmark_p1_cfg4_st16_0_lora_1/singles/p1_cfg4_st25_1_lora_0.png,/home/henrique/Projects/tcc/result-gathering/output/fix_text1_wordmark_p1_cfg4_st16_0_lora_1/singles/p1_cfg4_st25_1_no_0.png,wordmark:1.0,1,"text (""AURORA"":1.5)",dpmpp_2m_sde,karras,100,25,1024,text,0.6593,0.6699,0.0105,AUIrOora,,-1.0000,,,0,1
text2img,1,4.0,1024,/home/henrique/Projects/tcc/result-gathering/output/fix_text1_wordmark_p1_cfg4_st16_0_lora_1/singles/p1_cfg4_st25_1_lora_1.png,/home/henrique/Projects/tcc/result-gathering/output/fix_text1_wordmark_p1_cfg4_st16_0_lora_1/singles/p1_cfg4_st25_1_no_1.png,wordmark:1.0,1,"text (""AURORA"":1.5)",dpmpp_2m_sde,karras,100,25,1024,text,0.6539,0.6785,0.0246,AU RORA,AUORA,-0.5000,-0.2500,0.2500,0,0
